tmp_script.js: line 618, col 76, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 631, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 631, col 43, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 631, col 73, 'Optional chaining' is only available in ES11 (use 'esversion: 11').
tmp_script.js: line 632, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 634, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 635, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 636, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 637, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 638, col 13, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 642, col 13, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 656, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 660, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 660, col 21, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 664, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 664, col 21, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 670, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 689, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 693, col 43, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 694, col 21, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 699, col 10, Missing semicolon.
tmp_script.js: line 702, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 703, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 706, col 13, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 706, col 38, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
tmp_script.js: line 707, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 708, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 709, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 710, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 711, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
tmp_script.js: line 723, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
